Fri Mar 11 16:34:46 +0000 2011	raafaharaujoo	I just sliced 75 fruits, including 5 luscious limes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eLjlXe
Fri Mar 11 16:36:38 +0000 2011	my_Park_	I scored 387 points in Fruit Ninja's Arcade Mode on iPhone! Needs to practice those combos! http://www.fruitninja.com http://bit.ly/eBbmQK
Fri Mar 11 16:40:12 +0000 2011	my_Park_	I scored 509 points in Fruit Ninja's Arcade Mode on iPhone! Needs to practice those combos! http://www.fruitninja.com http://bit.ly/eBbmQK
Fri Mar 11 16:41:45 +0000 2011	RodrigoGras	I just sliced 80 fruits, including 6 delicious apples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/fpAoTd
Fri Mar 11 16:46:33 +0000 2011	GugaPeroba	I just scored 326 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/eEk9RV
Fri Mar 11 16:49:18 +0000 2011	qyiphone	I scored 222 points in Fruit Ninja's Zen Mode on iPhone, with a lush 5 fruit combo! http://www.fruitninja.com http://bit.ly/fg5Ui8
Fri Mar 11 16:52:34 +0000 2011	bubbLycreashunz	I just sliced 442 fruits, including 27 luscious red apples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/hpBDHw
Fri Mar 11 17:04:01 +0000 2011	wilgelm	I just sliced 139 fruits, including 11 lush watermelons on Fruit Ninja HD for iPad! http://www.fruitninja.com http://bit.ly/gEB6Ck
Fri Mar 11 17:07:44 +0000 2011	SAELvolcomstone	I just sliced 321 fruits, including 24 luscious apples on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/h7uX0O
Fri Mar 11 17:09:27 +0000 2011	VanillaVillain	I just sliced 22 fruits, including 4 delicious mangoes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eClqQZ
Fri Mar 11 17:09:30 +0000 2011	taitun	I just scored 323 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/hzFkFB
Fri Mar 11 17:11:31 +0000 2011	DeliciousFuzz	I just scored 252 points in Fruit Ninja's Arcade Mode, with help from a Freeze Banana! http://www.fruitninja.com http://bit.ly/h9OmsI
Fri Mar 11 17:13:01 +0000 2011	taitun	I just scored 328 points in Fruit Ninja's Arcade Mode, with help from 2 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/hzFkFB
Fri Mar 11 17:13:41 +0000 2011	VanillaVillain	I just scored 157 points in Fruit Ninja's Arcade Mode, with help from a Frenzy Banana! http://www.fruitninja.com http://bit.ly/eClqQZ
Fri Mar 11 17:18:11 +0000 2011	Drmr_Kyu	I just sliced 14 fruits, including 4 lush mangoes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/gpcBdo
Fri Mar 11 17:19:00 +0000 2011	vi320	I just scored 269 points in Fruit Ninja's Arcade Mode, with help from a Freeze Banana! http://www.fruitninja.com http://bit.ly/i5q8io
Fri Mar 11 17:19:51 +0000 2011	nl14yasuki	I just scored 236 points in Fruit Ninja's Arcade Mode, with help from a Freeze Banana! http://www.fruitninja.com http://bit.ly/hlAJur
Fri Mar 11 17:23:30 +0000 2011	nl14yasuki	I just scored 273 points in Fruit Ninja's Arcade Mode, with help from a Frenzy Banana! http://www.fruitninja.com http://bit.ly/hlAJur
Fri Mar 11 17:30:58 +0000 2011	AlexR1ce	I just scored 707 points in Fruit Ninja's Arcade Mode, with help from 4 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/gnufef
Fri Mar 11 17:33:41 +0000 2011	reggie508	I just scored 797 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/ePxSgq
Fri Mar 11 17:34:57 +0000 2011	vanbaale12	I just sliced 131 fruits, including 10 succulent limes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/g3zvQd
Fri Mar 11 17:35:15 +0000 2011	Hiuskey	I scored 208 points in Fruit Ninja's Zen Mode on iPhone, with a juicy 6 fruit combo! http://www.fruitninja.com http://bit.ly/hWwQ4g
Fri Mar 11 17:44:35 +0000 2011	JackSweeneyNET	I just sliced 462 fruits, including 24 tasty pears on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/eRPYOW
Fri Mar 11 17:44:38 +0000 2011	taitun	I just scored 385 points in Fruit Ninja's Arcade Mode, with help from 3 Freeze Bananas! http://www.fruitninja.com http://bit.ly/hzFkFB
Fri Mar 11 17:51:03 +0000 2011	carlinmack	I just scored 291 points in Fruit Ninja's Arcade Mode, with help from 2 Freeze Bananas! http://www.fruitninja.com http://bit.ly/foYdPj
Fri Mar 11 17:51:20 +0000 2011	yojanayezzio	I scored 210 points in Fruit Ninja's Zen Mode on iPhone, with a luscious 6 LEMON combo! http://www.fruitninja.com http://bit.ly/dPtlCA
Fri Mar 11 17:54:54 +0000 2011	Sweetmayumijane	I just scored 295 points in Fruit Ninja's Arcade Mode, with help from a Score x2 Banana! http://www.fruitninja.com http://bit.ly/hOtBxQ
Fri Mar 11 17:58:55 +0000 2011	TinaTranT	I just scored 201 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/f1Zdov
Fri Mar 11 18:00:18 +0000 2011	ayhaze	I just scored 858 points in Fruit Ninja's Arcade Mode, with help from 3 Frenzy Bananas! http://www.fruitninja.com http://bit.ly/fE6VSA
Fri Mar 11 18:01:25 +0000 2011	utevisje	I just scored 739 points in Fruit Ninja's Arcade Mode, with help from 2 Freeze Bananas! http://www.fruitninja.com http://bit.ly/dJzfLp
Fri Mar 11 18:07:45 +0000 2011	Pulse_apk	I just sliced 341 fruits, including 25 delicious APPLES on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/gtnrVT
Fri Mar 11 18:12:31 +0000 2011	foreigner2626	I just scored 527 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/g4nZmB
Fri Mar 11 18:13:50 +0000 2011	Sweetmayumijane	I just sliced 232 fruits, including 15 succulent limes on Fruit Ninja for iPhone! http://www.fruitninja.com http://bit.ly/hOtBxQ
Fri Mar 11 18:20:19 +0000 2011	Sweetmayumijane	I just scored 265 points in Fruit Ninja's Arcade Mode, with help from 2 Score x2 Bananas! http://www.fruitninja.com http://bit.ly/hOtBxQ
